Review_Content,Review_stay_date,Reviewer_name,Rating
"Good service, food was nice, overall a great comfortable stay.

Stayed in April 2024",Stayed in April 2024,Vrunda,9.0
"Maintenance of plumbing and electrical of the room needs checking

Clean, hygiene, well planned

Stayed in April 2024",Stayed in April 2024,Jagdishchandra,9.0
"The swimming pool is built in the parking area, not at all user friendly or cozy.

Beautiful room, good food, friendly staff

Stayed in January 2024",Stayed in January 2024,Sowmya,8.0
"Small rooms, breakfast buffet shud be expanded for business travellers

Clean, good food, efficient

Stayed in March 2024",Stayed in March 2024,Aditya,8.0
"lobby is small

nice cafe and restaurant

Stayed in March 2024",Stayed in March 2024,Sanjay,9.0
"The complimentary coffee was not drinkable, it was horrible. Please just because its complimentary you guys need not make it so bad.

The room was good. Staffs were polite.

Stayed in March 2024",Stayed in March 2024,Zeeshan,7.0
"very good

Stayed in February 2024",Stayed in February 2024,Ankit,7.0
"I am allergic to milk, for a hotel like this I was excepting a milk substitute like Soya etc ., but they did not have one

I liked the Spa!

Stayed in March 2024",Stayed in March 2024,Stanley,8.0
"Cleanliness to be improved 
The shower curtain was dirty
The carpet needed cleaning
Overall very dusty many places

Stayed in March 2024",Stayed in March 2024,Serena,7.0
"It is old hotel

Stayed in March 2024",Stayed in March 2024,Mohammed,7.0
"Compact and clean place with good food and good service

Well and centrally located. The rooms were quite spacious with good air conditioners and well equipped. The linen and the room was very clean and service was good.
Excellent choice for any kind of stay.

Stayed in January 2024",Stayed in January 2024,Lalit,8.0
"N/A

Location is perfect to visit the places nearby.

Stayed in March 2024",Stayed in March 2024,Anushree,8.0
"Nothing Specific

Location and Proximity

Stayed in March 2024",Stayed in March 2024,Jayesh,9.0
"Small room and small reception

Location

Stayed in February 2024",Stayed in February 2024,Mansoor,8.0
"We had to change rooms as the Exec upgraded room had a musky smell every time the AC was turned on

Nice location, modern facilities good breakfast

Stayed in February 2024",Stayed in February 2024,Lad,7.0
"The coffee corner needs to be attended and not be as a on ""call system""

Stayed in February 2024",Stayed in February 2024,Sharad,9.0
"Nothing during trip.

Good in all aspects fom staff to location.

Stayed in February 2024",Stayed in February 2024,Himansu,9.0
"Friendly and helpful staff in every department, room was outstanding…large room and super clean. Great location for shopping

Stayed in February 2024",Stayed in February 2024,Jitendra,9.0
"Expecting some more bakery products in veg menu at breakfast and also at main counter,  rest was all good.

Staff,  location and this is second time I was upgraded to Jr suit from business class,  am really glad for that.

Stayed in February 2024",Stayed in February 2024,Shah,9.0
"Water leaking from basin on floor in bathroom.

Clean, great location, friendly and helpful staff.

Stayed in February 2024",Stayed in February 2024,Kavita,9.0
"Clean and centrally located

Stayed in January 2024",Stayed in January 2024,Nilesh,9.0
"Even though non smoking from bathroom vents can smell smoke from upstairs or neighbours room. 
Breakfast /dinner room over busy and did not give feeling of real Radission.

Location

Stayed in January 2024",Stayed in January 2024,Rajendra,7.0
"nothing to report

clean and spacious room.

Stayed in January 2024",Stayed in January 2024,Francesca,8.0
"nothing everything was as it should be , however a little expensive for Ahmedabad

Excellent Breakfast clean rooms , nice location , friendly staff , no complaints

Stayed in January 2024",Stayed in January 2024,Dinesh,8.0
"Good service, food was nice, overall a great comfortable stay.

Stayed in April 2024",Stayed in April 2024,Vrunda,9.0
"Maintenance of plumbing and electrical of the room needs checking

Clean, hygiene, well planned

Stayed in April 2024",Stayed in April 2024,Jagdishchandra,9.0
"The swimming pool is built in the parking area, not at all user friendly or cozy.

Beautiful room, good food, friendly staff

Stayed in January 2024",Stayed in January 2024,Sowmya,8.0
"Small rooms, breakfast buffet shud be expanded for business travellers

Clean, good food, efficient

Stayed in March 2024",Stayed in March 2024,Aditya,8.0
"lobby is small

nice cafe and restaurant

Stayed in March 2024",Stayed in March 2024,Sanjay,9.0
"The complimentary coffee was not drinkable, it was horrible. Please just because its complimentary you guys need not make it so bad.

The room was good. Staffs were polite.

Stayed in March 2024",Stayed in March 2024,Zeeshan,7.0
"very good

Stayed in February 2024",Stayed in February 2024,Ankit,7.0
"I am allergic to milk, for a hotel like this I was excepting a milk substitute like Soya etc ., but they did not have one

I liked the Spa!

Stayed in March 2024",Stayed in March 2024,Stanley,8.0
"Cleanliness to be improved 
The shower curtain was dirty
The carpet needed cleaning
Overall very dusty many places

Stayed in March 2024",Stayed in March 2024,Serena,7.0
"It is old hotel

Stayed in March 2024",Stayed in March 2024,Mohammed,7.0
"Compact and clean place with good food and good service

Well and centrally located. The rooms were quite spacious with good air conditioners and well equipped. The linen and the room was very clean and service was good.
Excellent choice for any kind of stay.

Stayed in January 2024",Stayed in January 2024,Lalit,8.0
"N/A

Location is perfect to visit the places nearby.

Stayed in March 2024",Stayed in March 2024,Anushree,8.0
"Nothing Specific

Location and Proximity

Stayed in March 2024",Stayed in March 2024,Jayesh,9.0
"Small room and small reception

Location

Stayed in February 2024",Stayed in February 2024,Mansoor,8.0
"We had to change rooms as the Exec upgraded room had a musky smell every time the AC was turned on

Nice location, modern facilities good breakfast

Stayed in February 2024",Stayed in February 2024,Lad,7.0
"The coffee corner needs to be attended and not be as a on ""call system""

Stayed in February 2024",Stayed in February 2024,Sharad,9.0
"Nothing during trip.

Good in all aspects fom staff to location.

Stayed in February 2024",Stayed in February 2024,Himansu,9.0
"Friendly and helpful staff in every department, room was outstanding…large room and super clean. Great location for shopping

Stayed in February 2024",Stayed in February 2024,Jitendra,9.0
"Expecting some more bakery products in veg menu at breakfast and also at main counter,  rest was all good.

Staff,  location and this is second time I was upgraded to Jr suit from business class,  am really glad for that.

Stayed in February 2024",Stayed in February 2024,Shah,9.0
"Water leaking from basin on floor in bathroom.

Clean, great location, friendly and helpful staff.

Stayed in February 2024",Stayed in February 2024,Kavita,9.0
"Clean and centrally located

Stayed in January 2024",Stayed in January 2024,Nilesh,9.0
"Even though non smoking from bathroom vents can smell smoke from upstairs or neighbours room. 
Breakfast /dinner room over busy and did not give feeling of real Radission.

Location

Stayed in January 2024",Stayed in January 2024,Rajendra,7.0
"nothing to report

clean and spacious room.

Stayed in January 2024",Stayed in January 2024,Francesca,8.0
"nothing everything was as it should be , however a little expensive for Ahmedabad

Excellent Breakfast clean rooms , nice location , friendly staff , no complaints

Stayed in January 2024",Stayed in January 2024,Dinesh,8.0
"Food in restaurant was really not good at all ! 
Taste was rather plain
Selection and variety in adequate & surprising 
Preparation was not in line with expectations. 
Also, housekeeping can be much better.... after 1st day, soiled  towel left below sink, only 1 water bottle added.... food crumbs (which i had not eaten) near window !!!

Good big room, great
Location and cordial  staff

Stayed in July 2023",Stayed in July 2023,Jiten,7.0
"Overall a good experience

Stayed in June 2023",Stayed in June 2023,Ajay,9.0
"As one steps out of the lift, there is no indicator for the restaurant in which residents are supposed to have buffet breakfast. For the first time visitor it may be confusing as the other restaurant - Kebeb corner.... is on the right and this restaurant is on the left.

The restaurant is quite nice and has a good layout. The staff is prompt and the chef was personally looking after the needs of the customers. He even served items that were not laid out in the buffet.

Stayed in July 2023",Stayed in July 2023,Mv,9.0
"All good. Keep it up.

Nice clean well maintained place. Good buffet dinner, excellent breakfast. Value for money.
Courteous and helping staff. 
Centrally located near CG road, for all types of 2 to 5 minutew shopping and walk distance eateries.

Stayed in July 2023",Stayed in July 2023,Hemant,9.0
"The approach of Front Desk Manager could be better,he behaves like he is so much busy and not attending the guests properly. While going towards the rooms after the check in, he comes and stops us at the lift lobby to take the picture of us. Taking picture is not that problem ,but the way he did, its very disregardful. Such a brand like Radisson blue deserves some smart managers who can handle its customers very elegantly and politely.

Nice Good food and comfortable stay.
Overall Staffs are nice and Cooperative.

Stayed in July 2023",Stayed in July 2023,Arif,9.0
"Nothing much

Service, rooms amenities and size
Breakfast spread 
Electric cabs

Stayed in June 2023",Stayed in June 2023,Yugal,8.0
"Except an issue with the air-conditioning (which was put right by the technician), everything was perfect

The staff, the rooms, the food everything was excellent. The location is ideal - very centrally located.

Stayed in June 2023",Stayed in June 2023,Nikhil,9.0
"Services can improve.Dinner buffet options can be better.

Nice location , rooms are clean.Special mention for Ms Jyoti at front desk who was very supportive.

Stayed in June 2023",Stayed in June 2023,Kapil,8.0
"All minor issues: 
Made several calls just to get room cleaned.  Room layout was odd- bathroom door should come out from hallway not from bed area- this would help with privacy.  The AC is at a fixed temperature.  The small refrigerator wasn’t that effective at keeping items cold.  If the hotel is hosting business meetings, the meeting room and lobby areas can become quite noisy.

Great location- close to shops and restaurants.  Front reception staff are very friendly and accommodating.  Decent sized rooms and quiet.  Minibar at MRP.

Stayed in June 2023",Stayed in June 2023,Adeline,8.0
"Service TV was not working

Facilities and location

Stayed in May 2023",Stayed in May 2023,Madaan,8.0
"Salad missing in the buffet.

Good food. Missing salads. But the variety of food was really good. 
Staff was really helpful.

Stayed in June 2023",Stayed in June 2023,Pankaj,9.0
"cleanliness needs a lot of attention

Pranjal and Jay were very  efficient and good

Stayed in May 2023",Stayed in May 2023,Anil,8.0
"bed, mattress, pillow and bedsheets were worn out and bedsheets had stains…

location

Stayed in May 2023",Stayed in May 2023,Jaimin,8.0
"V well maintained

Prompt service and good ambiance and neatness I most stay at Radisson whenever I get a good basic rate coz it’s worth it

Stayed in May 2023",Stayed in May 2023,Minal,9.0
"nothing to say

good property

Stayed in May 2023",Stayed in May 2023,Viraj,8.0
"size of the pool and the timing, I was asked not to swim post 7 PM in the evening. For those visiting for work, we only have time post 7 PM so the pool should be open for much longer, at least until 10 PM.

Stayed in May 2023",Stayed in May 2023,Raj,8.0
"Nothing

Buffet Breakfast
Value for Money
Room and facilities
Virtually Everything
Rooms are digital smart rooms and alexa will surely bring smiles

Stayed in May 2023",Stayed in May 2023,Dr,9.0
"The hotel is located neat the Law Garden in Ahmedabad. Our room was upgraded to a business class room so that was a bonus! The hotel is very clean and the room very comfortable with all the amenities for a very comfortable stay. The buffet breakfast is excellent. Staff is very friendly and accommodating. The onsite restaurants are excellent.

Stayed in April 2023",Stayed in April 2023,Kpanch,8.0
"Mattress was of poor quality. Hotel has not been maintained with stains on carpets

Location was very convenient we were in Ahmedabad for shopping and found that everywhere was easy to get to.

Stayed in April 2023",Stayed in April 2023,Krishna,7.0
"Reception staff was rude.

Location is good

Stayed in May 2023",Stayed in May 2023,Hiren,7.0
"air conditioning is not upto the mark after repeated complains rooms were still warm

good location comfortable stay nice staff

Stayed in March 2023",Stayed in March 2023,Mohmed,8.0
"nothing specific

A friendly front office executive welcomes you to the property. I would like to mention super hospitality by Ms Pranjal. The rooms are awesome and super comfortable! Very clean rooms, property. The restaurants are amazing and really prepare good food!

Stayed in April 2023",Stayed in April 2023,Amol,9.0
"I like the services and very supportive staff.

It's a very calm and quite place.stay was veri nice

Stayed in April 2023",Stayed in April 2023,Aarif,9.0
"I always used to eat curd rice whenever i visited to Ahmedabad. So i have ordered curd rice here but i feel that taste should be improved little bit.

I like the staff behaviours especially a girl in different uniform (i forgot her name). Services provided by the Room dine in team and manager of this hotel who are all well trained to treat customers with care.

Stayed in April 2023",Stayed in April 2023,Ali,8.0
"air conditioning was not so cool

it was good

Stayed in April 2023",Stayed in April 2023,Shebna,8.0
"Had asked for a No Smoking Room, though was given one too. However, it did smell of Smoke...No Windows to allow in Fresh Air. Spraying a Room Freshener was just a Temporary Relief...THEY NEED TO UPGRADE TO DEDICATED NO SMOKING AREAS OR IMPROVE THE ONE'S ON OFFER ! ! !

Happy & Satisfying Experience !!! Would not mind recommending and staying once again . . .

Stayed in July 2022",Stayed in July 2022,Brian,7.0
"reception staff not pleasent in welcoming thr guest , cold approach

middle of the town

Stayed in July 2022",Stayed in July 2022,Anvar,7.0
"Pillars and bathroom

Bathroom should have been a bit more cleaner. Too many stains. Pillar need to be better.

Stayed in July 2022",Stayed in July 2022,Ramesh,9.0
"Stained carpets could do with a refurb

Location

Stayed in June 2022",Stayed in June 2022,Raj,8.0
"The Superior room mentions a lot of amenities in the room but they are unavailable like Iron and Iron Board, hair dryer and most important the safe locker.
The room service gave me an alternative of an ashtray (picture attached). The bowl like thing was the cover of a potty cleaner brush.
 During our stay all the requests made whether it was for amenities or even taking the luggage during check out we're delayed and had to do multiple followups for the same. I am not sure why there was such lack of service.
It's useless to request anything to the Operator, Room Service and Guest relations as they tend to ignore all the requests.
The property caters to corporate clients maybe that's the reason. 
I wouldn't recommend families to book here though it is near to local shopping streets because it lacks service and hospitality. 
Staying in a Five star property and to loose my cool to get things done and be heard is the last thing I would appreciate.

The check in was smooth, however we were assigned a superior room instead of a Business High floor room. The amenities in the room were not available as mentioned, hence had reached out to Ms. Alisha Bansal next day to inform her about the inconveniences faced and she immediately upgraded our room to a suite and complemented it with a family dinner at Timpana. Thank you to Ms. Alisha from the Operations and Shahid (Timpana Rest.) to turnaround the bad experience we had on the first day.

Stayed in July 2022",Stayed in July 2022,Amis,8.0
"cleanliness , breakfast spread

Stayed in July 2022",Stayed in July 2022,Balaji,8.0
"Breakfast was a mix of local fare and international fare.   Enjoyed the ambiance and serenity during breakfast.

Stayed in June 2022",Stayed in June 2022,Vijayalakshmi,8.0
"nothing

good

Stayed in June 2022",Stayed in June 2022,Amit,7.0
"Overall was good stay, staff was very helpful.

Stayed in June 2022",Stayed in June 2022,Meenakshi,8.0
"Staff Support during Rains

Location, Breakfast, Room

Stayed in June 2022",Stayed in June 2022,Dheeraj,7.0
"The swimming pool. It's the tiniest we've ever seen in any 5 star property anywhere. That's all of my dislikes.

The breakfast spread was wide and the quality satisfactory. Service was very good, polite, quick. Overall, we enjoyed our small vacation at the Radisson Blu. Got an early check in and a late check out, thank you.

Stayed in June 2022",Stayed in June 2022,Amar,8.0
"Room service was very under average- rooms were not regularly cleaned and if they did took alot of time. Amenities were hardly replaced.Billing was the worst experience and didn't expect this from a 4star hotel- They clubed someone else's room bills with me and tried  tried to charge me 15000 rs extra. They couldn't produce the signed copy of extra restaurant meals etc added to my room. My parents had already checked out their room on 19th but they wanted to charge me for their room until 21st.. don't know why. Many glitches in billing systems and ruined the over all experience in the end..Please check your billing system.

Best part of the stay was staff especially the doormen and the valet parking people. They were totally amazing and helpful. Most respectful and by far made my experience the best in India.I loved the on-spot services. Things reached your rooms as soon as you asked for something like bottle of water etc.

Stayed in June 2022",Stayed in June 2022,Eklavyya,7.0
"staff at reception was very helpful, arranged taxi for me Pickup from airport ws great

Stayed in May 2022",Stayed in May 2022,Rashmi,9.0
"Breakfast spread was good

Stayed in June 2022",Stayed in June 2022,Vineet,8.0
"The water was luke warm. Could not take a bath as the water would be cold by the time you get in. I requested that they increase the water temperature to which they said they would, but did not happen. We are platinum members of Radisson rewards and requested an early check-in to which they said they would accommodate if there's availability (which there was) but we had to pay for a half day after checking in at 05:30 am.

The location was close to the airport.

Stayed in June 2022",Stayed in June 2022,Chanteltravel,7.0
"food choices, but is aceptable as previously mentioned

The break fast buffet has a lot of varieties, however very small number of international dishes, with is understandable as I could not see many foreigners. reception people very helpful in given the rights information and the executive house keeping team doing a very good work guided by RAJAWI MAHADASH, hope you spell it this way.thank for all in general.

Stayed in June 2022",Stayed in June 2022,Juan,8.0
"ac is not working

Stayed in May 2022",Stayed in May 2022,Nilesh,7.0
"Lobby

Food

Stayed in May 2022",Stayed in May 2022,Pk,8.0
"I had booked a suite room and when I opened the room fridge it was empty.Atleast could have been filled with water bottles

Entire stay was good

Stayed in May 2022",Stayed in May 2022,Vinay,9.0
"Shower space and toilet cleaning can be improved

Polite and very helpful staff

Stayed in May 2022",Stayed in May 2022,Paritosh,7.0
"Food can still be made better. Wow factor is missing!

Ambience of restaurant

Stayed in May 2022",Stayed in May 2022,Sahil,7.0
"Nothing..it was good to stay.. But still has room for improvement..

Staff was too good.. and Courteous..

Stayed in May 2022",Stayed in May 2022,Anthony,9.0
"Only a small criticism was operation of the TV system, found it very complicated! Eventually found relevant channels but was a battle.!

Stayed in May 2022",Stayed in May 2022,Haz1308,9.0
"None

Hospitality and staff attention.

Stayed in April 2022",Stayed in April 2022,A,9.0
"Service can be faster

It’s a good feel place

Stayed in May 2022",Stayed in May 2022,Krishnan,8.0
"The choices for western people where limited

Stayed in November 2021",Stayed in November 2021,Juan,7.0
"bath room door

it’s location

Stayed in November 2021",Stayed in November 2021,Hitesh,8.0
"Comfortable stay 🙂

Stayed in October 2021",Stayed in October 2021,Ankita,9.0
"we excepted package include breakfast , unfortunately break fast was not included in package . booking.com app needs to be more clear with this in confirmation. regardsraj

Stayed in September 2021",Stayed in September 2021,Raaj,7.0
"The attitude of staff is average, not upto the mark. Breakfast needs to vary on daily basis, you cannot same or similar bf each morning. Gym equipment’s needs maintenance immediately.

The location is excellent

Stayed in September 2021",Stayed in September 2021,Priyanka,7.0
"The location !!!

Bathroom

Stayed in September 2021",Stayed in September 2021,Mitul,9.0
"The room could do with a teaspoon or two for stirring the coffee or tea.I would like to have had the shaving kit replaced after use. A hand towel would have been appreciated too.

The bed and pillows were comfortable and bathrooms were clean. I liked the poha and the parathas at the breakfast buffet.Your staff was very polite, specialy the new person Pramod.

Stayed in August 2021",Stayed in August 2021,Sanjay,8.0
"Services needs to be improved ,
Check in time nobody to attend to your luggage.

Spacious Rooms , value for money

Stayed in August 2021",Stayed in August 2021,F,8.0
"Delay in check in.

Excellent breakfast. Location.

Stayed in August 2021",Stayed in August 2021,Mahendra,8.0
"The bathroom shead that covers the glass was dirty, the bathroom door was not getting closed while shower and the water was coming out of the door.

I like the staff and the space in the hotel

Stayed in August 2021",Stayed in August 2021,Vineta,8.0
"Yes

Stayed in July 2021",Stayed in July 2021,Ms,9.0
"All was ok

Good rooms

Stayed in July 2021",Stayed in July 2021,Keyur,8.0
"the bedsheet were not that good. There was bobbling in the bedsheet.The AC of room was also not upto the mark. As cooling was not appropriate as it was showing in the remote.

Stayed in July 2021",Stayed in July 2021,Dipankar,7.0
"Mosquitoes in Lobby infront of Entrance reception where in people sit @ couch.

Stayed in July 2021",Stayed in July 2021,Ajay,8.0
"ALWAYS WITH POOL ,,,,,, THIS DISSAPOINT ME ALL TIME WITH THIS HOTEL POOL ,....BSZ OF LOCATION AND VIBE ,,,,IS JUST ATTACH WITH HOTEL PARKING AREA AND IT WONT GIVE U POOL VIBE HOTEL

ALL TIME FAV HOTEL AND GOOD COMFORT HOTEL ON MY LIST COMPARE WITH LOW PRICE WITH 5 STAR FACILITIES ,,,THE STAFF WHERE SO NICE AT TIME OF CHECKIN ..THE WONT TAKE MUCH TIME TO CHECKIN ... IF U WHERE ALLRDRY CHECKED-IN BEFORE PAST DAYS TO THIS HOTEL,,,,,,, OVERALLL MY EXPREINCES WITH THIS HOTEL IS TOO-GOOD ,ALWAYS FORWARD TO CHECKIN TO THIS HOTEL,..

Stayed in June 2021",Stayed in June 2021,Naresh,9.0
"THE POOL LOCATION AND THE POOL VIBE ... THE POOL IS NOT IN HOTEL VIBE TYPE .. OVER ALL THE HOTEL STAY WAS TO GOOD

PROPERTY IS GOOD ,I WHERE STAY IN THIS HOTEL NOT 1,AND 2 TIME ...IN FACT I STAY HERE  MORE THAN 14 TIMES AND FOOD AND CLEANLINESS WAS TO GOOD ... THE STAFF WERE SO GOOD AND CO-OPERATIVE.. ALWAYS HAPPY TO CHECK-IN TO THIS HOTEL AND.... THE MAIN THING THE PRICE IS TO LOW AMONG ALL 5STAR HOTEL IN AHMEDABAD

Stayed in May 2021",Stayed in May 2021,Naresh,8.0
"The rooms where quite old, wear and tear of room is quite visible. Management should put effort to correct any signs of wear and tear. 
And during my stay there was a breakdown of light and AC controller. After an hour of no success in rectifying the fault, another room was provided.

Stayed in July 2021",Stayed in July 2021,Srikant,7.0
"Room service n house keeping

Good to stay

Stayed in July 2021",Stayed in July 2021,Info,9.0
"ROOM CLEANING IS NOT COMING AFTER 5 TIME REQUEST.

AMENITIES LOCATION AND FOOD

Stayed in June 2021",Stayed in June 2021,Dilip,7.0
"Comfortable stay, food was good. Rooms were super clean. 
Staff was good. Have to wait for early check in as I have arrived 7 in morning :p

STAY.

Stayed in June 2021",Stayed in June 2021,Raahgiraman,9.0
"Washrooms. Washbasins are like of 1950s.

Good location

Stayed in March 2021",Stayed in March 2021,Aggarwal,7.0
"Loved the food

Stayed in April 2021",Stayed in April 2021,Mamta,9.0
"Will talk only for the room with view on main street: very noisy - was difficult to sleep.

Location and staff is very nice

Stayed in April 2024",Stayed in April 2024,Arnaud,4.0
"Rooms and its interior. Its all run down property

Stayed in March 2024",Stayed in March 2024,Keyur,3.0
"Everything is accessible, clean, super friendly and helpful staff, nice pool

Stayed in April 2024",Stayed in April 2024,Maria,10
"Having no sleep as our room was next to an outdoor whatever making the most annoying sound every 30 seconds. Complained and was dealt with only to start half hour later

Staff

Stayed in November 2023",Stayed in November 2023,Nitesh,1.0
"N/a

Pranjal, jyoti, and roshni were all very welcoming. I especially liked their recommendations for where to go in the city!

Stayed in November 2023",Stayed in November 2023,D'souza,10
"ROOM

V GOOD

Stayed in October 2023",Stayed in October 2023,Jayant,10
"Purposely selected high floor , non smoking room, only realised that was offered smoking room once we went back to hotel room at night. Our child did notice the Oder and was not a comfortable feeling.

Housekeeping and Staff are friendly. Location is central and well connected with public transportation.

Stayed in November 2023",Stayed in November 2023,Mohit,5.0
"Room smelled damp, very dated, parts of it unfinished, technology-room controls didn't work (eg Alexa wasnt connected to the internet), noisy aircon, lobby was highly perfumed, breakfast was below average

Good Location, great service

Stayed in November 2023",Stayed in November 2023,Ayan,6.0
"Late check-in process

Location

Stayed in November 2023",Stayed in November 2023,Virambhai,10
"Nothing

Everything

Stayed in October 2023",Stayed in October 2023,Soni,10
"No alcohol servered on the hotel, which i found very inconvinent and went to have dinner at the hotel restaurant due to their dinner time it took litte long for me to be served.

Staff was very nice and very help full, Specially the girls serve me Pranjal and Richa... sorry i was going to post a review but now only i come to my home. Thank you for all your assistance and help girls.... see you all on my next trip to Gujarat.

Stayed in October 2023",Stayed in October 2023,Saichithanandasivam,10
"Its location & food

Stayed in October 2023",Stayed in October 2023,Akhil,10
"Cleanliness, quality of breakfast and general response time needs updating. Not the quality expected of a Radisson

Stayed in October 2023",Stayed in October 2023,Deepa,6.0
"I didn’t like

Stayed in October 2023",Stayed in October 2023,Bhagaval,3.0
